"count_date","location_id","location","daily_cars","daily_bus","daily_peds","daily_bike"
2018-04-05,5610,"JANE ST AT WESTON RD (PX 528)",18774,503,2019,11
2018-04-07,4856,"BLACK CREEK DR S TCS AT JANE ST (PX 235)",23768,232,61,7
2018-04-07,4858,"JANE ST AT ST CLAIR AVE (PX 495)",22000,244,512,48
2018-04-07,5274,"JANE ST AT SHEPPARD AVE W",23639,409,2841,16
2018-04-07,5610,"JANE ST AT WESTON RD (PX 528)",17622,368,1842,11
2018-04-07,6035,"DENISON RD AT JANE ST & TRETHEWEY DR (PX 529)",17581,359,1565,9
2018-04-07,6037,"JANE ST AT SHOREHAM DR (PX 967)",11406,328,968,1
2018-04-12,4857,"BLACK CREEK DR N TCS AT JANE ST (PX 1418)",22218,433,61,4
2018-04-12,5799,"JANE ST AT LAWRENCE AVE (PX 430)",23762,791,4131,8
2018-04-14,4488,"JANE ST AT FALSTAFF AVE & GORDON MACKAY RD",17404,252,636,0
2018-04-14,4857,"BLACK CREEK DR N TCS AT JANE ST (PX 1418)",17825,248,15,0
2018-05-05,4491,"JANE ST AT STEELES AVE W",17866,447,858,27
2018-05-26,4029,"FINCH AVE AT JANE ST (PX 534)",29424,449,6852,31
2018-09-11,4908,"DIANA DR AT KEELE ST (PX 1548)",18038,347,261,65
2018-09-12,39601,"KEELE ST AT MARYPORT AVE",18308,322,103,78
2018-10-03,29710,"COOK RD AT SENTINEL RD (PX 2330)",5577,210,1440,60
2018-10-03,30151,"SENTINEL RD AT THE POND RD  (PX 2078)",8643,217,4876,129
2018-10-03,30635,"ASSINIBOINE RD AT SENTINEL RD",6299,189,1304,88
2018-11-28,36220,"BANGOR ROAD AT SHEPPARD AVE W",14707,340,164,3
2018-11-28,39841,"QUILTER RD AT SHEPPARD AVE W",13944,329,79,6
2018-11-28,39842,"BEAMAN RD AT SHEPPARD AVE W",14241,338,124,5
2018-11-28,39843,"FENNELL ST AT SHEPPARD AVE W",13897,339,97,3
2019-01-08,6128,"STEELES AVE W AT STEINWAY BLVD",14507,115,19,0
2019-01-16,6054,"KEELE ST AT WYCOMBE RD",18465,309,142,13
2019-03-21,4401,"STEELES AVE W AT CENTREPOINT MALL 385M WEST OF YONGE ST (PX 1400)",23681,397,1680,9
2019-03-21,30713,"BEECROFT RD AT FINCH AVE W AND GREENVIEW AVE (PX 1982)",18850,341,1525,12
2019-04-10,31570,"HANLEY ST AT JANE ST",9722,362,210,27
2019-04-17,4078,"KEELE ST AT MURRAY ROSS PKWY & TANGIERS RD (PX 1450)",16664,193,207,46
2019-05-09,5113,"CHESSWOOD DR AT SHEPPARD AVE (PX 1049)",20846,720,536,4
2019-05-16,32586,"FOUR WINDS DR AT KEELE ST (PX 2450)",13043,510,1988,14
2019-05-22,40508,"STEELES AVE W AT PRIVATE DRIVEWAY 200M EAST OF HWY 27",13991,164,35,5
2019-05-28,40602,"JANE ST AT 200M SOUTH OF CHALKFARM DR (DRIVEWAY TO #2265)",12188,345,173,13
2019-06-25,40580,"JANE ST AT NICKLE ST",13737,321,717,24
2019-06-25,40583,"COBALT ST AT JANE ST",13952,327,141,41
2019-09-04,37866,"CORNELL AVE AND GOLDWIN AVE AT JANE ST",10639,394,291,29
2019-11-05,40730,"FOLKES ST AT JANE ST",6737,355,623,12
2019-11-07,4279,"KEELE ST AT WHITBURN CRES (PX 1255)",18869,307,454,19
2019-12-03,5928,"BEECROFT RD AT NORTH YORK BLVD (PX 1978)",11010,37,793,5
2019-12-18,4372,"FINCH AVE W AT SENLAC RD (PX 812)",16653,502,470,5
2019-12-18,5555,"FINCH AVE W AT GRANTBROOK ST",16706,508,5,8
2019-12-18,6126,"STEELES AVE W AT HIGHWAY 400 E TCS & NORFINCH DR",23249,248,111,2
2019-12-18,6227,"ANCONA ST AT FINCH AVE W",15662,459,202,2
2019-12-18,6229,"ENDELL ST AT FINCH AVE W",15208,455,69,3
2019-12-18,41286,"FINCH AVE W AT GLENBOROUGH PARK CRES W",15303,458,6,4
2019-12-18,41287,"FINCH AVE W AT CLARKHILL ST",15298,457,83,5
2019-12-18,41288,"FINCH AVE W AT FINCHURST DR",15240,457,27,3
2019-12-18,41289,"FINCH AVE W AT MUIRKIRK RD",15339,452,85,6
2019-12-19,4434,"STEELES AVE W AT WESTON RD",21709,265,333,0
2019-12-19,26876,"FINCH AVE W AT KENDLETON DR",10599,329,314,3
