"count_date","location","lng","lat","count_id","time_trend","daily_cars","daily_bus","daily_peds","daily_bike"
2018-12-18,"EAST MALL CRES AT THE EAST MALL (PX 904)",-79.552338,43.6314350009769,38037,2543,15332,111,366,15
2018-12-19,"BLOOR ST AT MARKLAND W TCS DR (PX 1114)",-79.579827,43.6292910016054,38093,2544,11133,139,471,16
2018-12-19,"BLOOR ST AT SHAVER AVE (PX 910)",-79.54777201,43.6390290024517,38101,2544,13313,186,275,20
2018-12-19,"BLOOR ST W AT WILMAR RD (PX 2212)",-79.544506,43.639778,38103,2544,11615,192,102,18
2018-12-20,"ABERFOYLE CR AT BLOOR ST & GARDENVALE RD (PX 1402)",-79.518977,43.645666,38107,2545,17348,34,1010,47
2018-12-20,"AUKLAND RD AT BLOOR ST (PX 1516)",-79.540627,43.6406410043174,38105,2545,13568,546,313,17
2018-12-20,"BLOOR ST AT 47M E OF JACKSON AVE (PX 340)",-79.508356,43.648028,38113,2545,14013,21,1515,23
2018-12-20,"BLOOR ST AT MONTGOMERY RD (PX 1591)",-79.514571,43.6466699958177,38109,2545,16638,33,1455,33
2018-12-20,"BLOOR ST W AT ROYAL YORK RD",-79.51136332,43.64736297,38111,2545,23921,249,10997,44
2019-01-10,"INVERNESS AVE AT ISLINGTON AVE 

",-79.51545195,43.62525336,38219,2566,16589,194,40,7
2019-01-15,"ARMADALE AVE AT BLOOR ST W (PX 2404)",-79.48296801,43.6496870031299,38251,2571,12534,232,4590,49
2019-01-15,"BLOOR ST AT ISLINGTON AVE (PX 339)",-79.523438,43.644648,38245,2571,27847,794,5216,16
2019-01-15,"BLOOR ST AT THE EAST MALL (PX 792)",-79.556709,43.636929,38241,2571,22308,289,670,16
2019-01-19,"BLOOR ST AT ISLINGTON AVE (PX 339)",-79.523438,43.644648,38247,2575,18498,480,1275,2
2019-01-19,"BLOOR ST AT THE EAST MALL (PX 792)",-79.556709,43.636929,38243,2575,15012,169,217,2
2019-01-26,"BLOOR ST AT PRINCE EDWARD DR (PX 337)",-79.505453,43.648691,38249,2582,14637,95,546,3
2019-01-26,"BLOOR ST AT SOUTH KINGSWAY & RIVERVIEW GARDENS (PX 334)",-79.48575201,43.648312,38297,2582,15939,15,1209,11
